"Rank","Player","Team","BYE","FF Pts","ADP ( Average )","ADP Dif ( Average )","ADP (CBS)","ADP Dif (CBS)","ADP (ESPN)","ADP Dif (ESPN)","ADP (Fantrax)","ADP Dif (Fantrax)","ADP (FFPC)","ADP Dif (FFPC)","ADP (NFFC)","ADP Dif (NFFC)","ADP (Sleeper)","ADP Dif (Sleeper)","ADP (Y!)","ADP Dif (Y!)","ADP (Superflex)","ADP Dif (Superflex)","ADP (FFPC SF)","ADP Dif (FFPC SF)","ADP (Sleeper SF)","ADP Dif (Sleeper SF)","GC","GC Dif"
"1","Los Angeles Rams","LAR","11","149.3","2","1","3","2","3","2","3","2","2","1","2","1","1","0","2","1","1","0","2","1","1","0","2","1"
"2","Houston Texans","HOU","8","148.2","1","-1","2","0","1","-1","1","-1","1","-1","1","-1","2","0","1","-1","2","0","1","-1","2","0","1","-1"
"3","Seattle Seahawks","SEA","11","146.5","4","1","4","1","4","1","4","1","4","1","3","0","3","0","4","1","4","1","4","1","3","0","4","1"
"4","Denver Broncos","DEN","10","143.5","3","-1","1","-3","2","-2","2","-2","3","-1","4","0","4","0","3","-1","3","-1","3","-1","4","0","3","-1"
"5","Pittsburgh Steelers","PIT","9","143.0","6","1","7","2","5","0","7","2","8","3","9","4","11","6","9","4","8","3","8","3","9","4","7","2"
"6","Jacksonville Jaguars","JAX","7","139.1","10","4","11","5","14","8","10","4","7","1","7","1","9","3","7","1","10","4","10","4","11","5","9","3"
"7","Minnesota Vikings","MIN","6","120.5","9","2","5","-2","15","8","8","1","11","4","10","3","8","1","6","-1","6","-1","7","0","8","1","8","1"
"8","New England Patriots","NE","11","118.5","7","-1","8","0","8","0","6","-2","9","1","6","-2","7","-1","8","0","7","-1","9","1","7","-1","6","-2"
"9","Cleveland Browns","CLE","11","115.6","18","9","16","7","10","1","16","7","21","12","15","6","--","--","--","--","17","8","--","--","--","--","16","7"
"10","Baltimore Ravens","BAL","13","115.4","8","-2","9","-1","6","-4","9","-1","10","0","11","1","6","-4","10","0","9","-1","11","1","6","-4","11","1"
"11","Chicago Bears","CHI","10","115.3","17","6","19","8","19","8","17","6","16","5","12","1","15","4","--","--","16","5","--","--","--","--","19","8"
"12","Philadelphia Eagles","PHI","10","114.9","5","-7","6","-6","7","-5","5","-7","6","-6","5","-7","5","-7","5","-7","5","-7","5","-7","5","-7","5","-7"
"13","Los Angeles Chargers","LAC","7","112.2","11","-2","10","-3","11","-2","11","-2","5","-8","8","-5","12","-1","12","-1","12","-1","6","-7","12","-1","10","-3"
"14","Atlanta Falcons","ATL","11","108.6","21","7","12","-2","--","--","19","5","20","6","21","7","--","--","--","--","21","7","17","3","--","--","20","6"
"15","Buffalo Bills","BUF","7","106.9","16","1","14","-1","16","1","15","0","13","-2","17","2","--","--","16","1","15","0","13","-2","--","--","15","0"
"16","Detroit Lions","DET","6","106.3","12","-4","13","-3","9","-7","13","-3","12","-4","13","-3","10","-6","13","-3","11","-5","12","-4","10","-6","14","-2"
"17","Carolina Panthers","CAR","5","105.7","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","25","8"
"18","New Orleans Saints","NO","8","102.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","17","-1"
"19","Indianapolis Colts","IND","13","97.8","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","18","-1"
"20","Green Bay Packers","GB","11","93.8","13","-7","18","-2","18","-2","12","-8","14","-6","14","-6","13","-7","14","-6","13","-7","14","-6","13","-7","13","-7"
"21","Dallas Cowboys","DAL","14","93.7","15","-6","15","-6","13","-8","20","-1","15","-6","20","-1","16","-5","11","-10","19","-2","15","-6","--","--","22","1"
"22","Kansas City Chiefs","KC","5","91.6","14","-8","17","-5","12","-10","14","-8","17","-5","16","-6","14","-8","15","-7","14","-8","16","-6","14","-8","12","-10"
"23","Miami Dolphins","MIA","6","89.9","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","29","6"
"24","New York Giants","NYG","8","87.7","20","-4","--","--","20","-4","--","--","19","-5","19","-5","18","-6","--","--","20","-4","--","--","--","--","23","-1"
"25","Tampa Bay Buccaneers","TB","10","85.7","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","24","-1"
"26","San Francisco 49ers","SF","8","83.3","19","-7","--","--","17","-9","18","-8","18","-8","18","-8","17","-9","--","--","18","-8","--","--","--","--","21","-5"
"27","Tennessee Titans","TEN","9","80.9","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","27","0"
"28","Cincinnati Bengals","CIN","6","79.7","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","26","-2"
"29","Washington Commanders","WAS","7","79.2","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","28","-1"
"30","Arizona Cardinals","ARI","14","78.5","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","32","2"
"31","Las Vegas Raiders","LV","13","78.2","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","30","-1"
"32","New York Jets","NYJ","13","76.7","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","31","-1"
