"Rank","Player","Team","BYE","FF Pts","ADP ( Average )","ADP Dif ( Average )","ADP (CBS)","ADP Dif (CBS)","ADP (ESPN)","ADP Dif (ESPN)","ADP (Fantrax)","ADP Dif (Fantrax)","ADP (FFPC)","ADP Dif (FFPC)","ADP (Sleeper)","ADP Dif (Sleeper)","ADP (Y!)","ADP Dif (Y!)","ADP (Superflex)","ADP Dif (Superflex)","ADP (FFPC SF)","ADP Dif (FFPC SF)","ADP (Sleeper SF)","ADP Dif (Sleeper SF)","GC","GC Dif"
"1","Brandon Aubrey","DAL","14","158.1","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0"
"2","Ka'imi Fairbairn","HOU","8","156.9","2","0","3","1","4","2","2","0","4","2","4","2","2","0","3","1","4","2","3","1","3","1"
"3","Cameron Dicker","LAC","7","156.0","4","1","4","1","2","-1","5","2","2","-1","2","-1","3","0","2","-1","2","-1","2","-1","2","-1"
"4","Jason Myers","SEA","11","145.5","3","-1","2","-2","3","-1","3","-1","3","-1","3","-1","4","0","5","1","3","-1","6","2","5","1"
"5","Harrison Mevis","LAR","11","134.6","12","7","7","2","5","0","8","3","6","1","6","1","--","--","6","1","8","3","5","0","12","7"
"6","Chris Boswell","PIT","9","133.6","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","14","8"
"7","Chase McLaughlin","TB","10","132.6","16","9","14","7","--","--","15","8","10","3","15","8","--","--","15","8","9","2","--","--","10","3"
"8","Cairo Santos","CHI","10","132.4","11","3","11","3","12","4","12","4","15","7","14","6","8","0","13","5","12","4","--","--","11","3"
"9","Andres Borregales","NE","11","132.4","15","6","16","7","--","--","14","5","14","5","8","-1","--","--","14","5","--","--","7","-2","13","4"
"10","Spencer Shrader","IND","13","132.2","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","32","22"
"11","Wil Lutz","DEN","10","132.1","14","3","15","4","14","3","--","--","16","5","--","--","11","0","16","5","15","4","--","--","17","6"
"12","Eddy Pineiro","SF","8","132.0","7","-5","9","-3","7","-5","9","-3","8","-4","9","-3","9","-3","8","-4","10","-2","10","-2","6","-6"
"13","Jake Bates","DET","6","131.7","6","-7","6","-7","9","-4","7","-6","7","-6","7","-6","12","-1","7","-6","6","-7","8","-5","8","-5"
"14","Tyler Loop","BAL","13","131.4","8","-6","13","-1","10","-4","6","-8","9","-5","11","-3","6","-8","10","-4","7","-7","12","-2","7","-7"
"15","Cam Little","JAX","7","130.4","5","-10","5","-10","6","-9","4","-11","5","-10","5","-10","5","-10","4","-11","5","-10","4","-11","4","-11"
"16","Evan McPherson","CIN","6","129.3","10","-6","10","-6","13","-3","10","-6","13","-3","13","-3","10","-6","11","-5","13","-3","13","-3","9","-7"
"17","Trey Smack","GB","11","128.8","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","22","5"
"18","Will Reichard","MIN","6","126.1","9","-9","12","-6","11","-7","13","-5","11","-7","10","-8","7","-11","12","-6","14","-4","11","-7","15","-3"
"19","Dominic Zvada","NYG","8","124.6","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","37","18"
"20","Nick Folk","ATL","11","123.7","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","24","4"
"21","Harrison Butker","KC","5","122.3","13","-8","8","-13","8","-13","11","-10","12","-9","12","-9","--","--","9","-12","11","-10","9","-12","16","-5"
"22","Tyler Bass","BUF","7","122.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","19","-3"
"23","Daniel Carlson","NO","8","122.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","26","3"
"24","Ryan Fitzgerald","CAR","5","120.7","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","25","1"
"25","Drew Stevens","WAS","7","120.1","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","30","5"
"26","Joey Slye","TEN","9","119.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","20","-6"
"27","Blake Grupe","NYJ","13","118.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","23","-4"
"28","Matt Gay","LV","13","117.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","34","6"
"29","Chad Ryland","ARI","14","116.1","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","21","-8"
"30","Andre Szmyt","CLE","11","115.7","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","33","3"
"31","Riley Patterson","MIA","6","115.4","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","36","5"
"32","Jake Elliott","PHI","10","115.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","18","-14"
